##################
#Enthalpy of formation, kJ/mol
#NIST, http://webbook.nist.gov/chemistry/form-ser/
CH3CHO -154.808000
CH3CDO -154.808000
CH2DCHO -154.808000
CHD2CHO -154.808000
CH2DCDO -154.808000

CH3CN 79.496000
CD3CN 79.496000
CH2DCN 79.496000
CHD2CN 79.496000

CH3OCH3 -166.104800
CH3OCH2D -166.104800
CH2DOCH3 -166.104800
CHD2OCH3 -166.104800
CH2DOCH2D -166.104800
CH3OCHD2 -166.104800

CN 435.4
CS 273.215200

H2CN 233.048800
HDCN 233.048800
D2CN 233.048800

H2CS 118.407200
HDCS 118.407200
D2CS 118.407200

H2S -17.656480
HDS -17.656480
D2S -17.656480

HC2O 177.401600
DC2O 177.401600

HC3N 351.456000
DC3N 351.456000

HC5N 351.456000
DC5N 351.456000

HC7N 351.456000
DC7N 351.456000

HC9N 351.456000
DC9N 351.456000

HCN 129.67
DCN 128.407

HCOOCH3 -292.880000
DCOOCH3 -292.880000
HCOOCH2D -292.880000
DCOOCH2D -292.880000
HCOOCHD2 -292.880000

HCS 309.616000
DCS 309.616000

HNC 191.53
DNC 191.53

HNCO -119.05
DNCO -119.05

HNO 110.039200
DNO 110.039200

HS 141.210000
DS 141.210000

N2 0.000000
N2O 84.935200

NH2CHO -184.096000
NHDCHO -184.096000
NH2CDO -184.096000
ND2CHO -184.096000
NHDCDO -184.096000
ND2CDO -184.096000

NH2CN -4183.958160
NHDCN -4183.958160
ND2CN -4183.958160

NO 90.750960
NO2 36.819200
NS 266.939200
OCN 154.808000
OCS -142.256000
S2 128.448800
SO 5.020800
SO2 -294.135200

HCl -92.125
DCl -92.125

CCl 435.81


CH3CO -3.6
CH2DCO -3.6
CHD2CO -3.6

CH3OCHO -344.4
CH3OCDO -344.4
CH2DOCHO -344.4
CHD2OCHO -344.4
CH2DOCDO -344.4

PH 231.698
PD 231.698
PH2 139.333
PHD 139.333
PD2 139.333
PN 172.48

l_C3H 727
c_C3H 715
l_C3D 727
c_C3D 715

l_C3H2 557
c_C3H2 497
l_C3HD 557
c_C3HD 497
l_C3D2 557
c_C3D2 497

l_C3HD+ 1411.0
l_C3H2+ 1411.0
l_C3D2+ 1411.0
c_C3HD+ 1382.0
c_C3H2+ 1382.0
c_C3D2+ 1382.0

l_C3D3+ 1201.645
l_C3HD2+ 1201.645
l_C3H3+ 1201.645
c_C3D3+ 1088.0
c_C3HD2+ 1088.0
c_C3H3+ 1088.0

SiO2 -322.07

CH2PH -281.83
CH2PD -281.83
CD2PH -281.83
CD2PD -281.83
CHDPH -281.83
CHDPD -281.83

HCP 217.79 
DCP 217.79 

HPO -89.9
DPO -89.9

CP 517.86

PN 172.48

c_SiC2 625.0

SiH3 204.093
SiH2D 204.093
SiHD2 204.093
SiD3 204.093

SiH4 44.319
SiH3D 44.319
SiH2D2 44.319
SiHD3 44.319
SiD4 44.319


HSSH 21.243
HSSD 21.243
DSSH 21.243
DSSD 21.243

P 315.663
PO -27.548 
