1 1 4 974 521 974 974 974 0
2 1 7 974 523 974 974 974 0
3 1 9 974 526 974 974 974 0
4 1 11 974 527 974 974 974 0
5 1 14 974 528 974 974 974 0
6 1 16 974 529 974 974 974 0
7 1 17 974 530 974 974 974 0
8 1 20 974 532 974 974 974 0
9 1 23 974 537 974 974 974 0
10 1 26 974 824 974 974 974 0
11 1 28 974 832 974 974 974 0
12 1 31 974 544 974 974 974 0
13 1 34 974 545 974 974 974 0
14 1 37 974 546 974 974 974 0
15 1 39 974 584 974 974 974 0
16 1 41 974 542 974 974 974 0
17 1 43 974 760 974 974 974 0
18 1 46 974 547 974 974 974 0
19 1 48 974 549 974 974 974 0
20 1 49 974 552 974 974 974 0
21 1 50 974 558 974 974 974 0
22 1 51 974 562 974 974 974 0
23 1 52 974 570 974 974 974 0
24 1 53 974 572 974 974 974 0
25 1 54 974 575 974 974 974 0
26 1 55 974 579 974 974 974 0
27 1 61 974 585 974 974 974 0
28 1 62 974 589 974 974 974 0
29 1 63 974 591 974 974 974 0
30 1 65 974 593 974 974 974 0
31 1 67 974 596 974 974 974 0
32 1 70 974 540 974 974 974 0
33 1 72 974 543 974 974 974 0
34 1 75 974 600 974 974 974 0
35 1 78 974 601 974 974 974 0
36 1 81 974 602 974 974 974 0
37 1 84 974 603 974 974 974 0
38 1 86 974 604 974 974 974 0
39 1 89 974 605 974 974 974 0
40 1 91 974 608 974 974 974 0
41 1 93 974 612 974 974 974 0
42 1 96 974 617 974 974 974 0
43 1 100 974 618 974 974 974 0
44 1 108 974 619 974 974 974 0
45 1 114 974 844 974 974 974 0
46 1 118 974 620 974 974 974 0
47 1 121 974 621 974 974 974 0
48 1 123 974 622 974 974 974 0
49 1 125 974 623 974 974 974 0
50 1 128 974 624 974 974 974 0
51 1 131 974 626 974 974 974 0
52 1 133 974 629 974 974 974 0
53 1 138 974 630 974 974 974 0
54 1 140 974 631 974 974 974 0
55 1 142 974 632 974 974 974 0
56 1 145 974 633 974 974 974 0
57 1 148 974 635 974 974 974 0
58 1 150 974 636 974 974 974 0
59 1 153 974 637 974 974 974 0
60 1 157 974 638 974 974 974 0
61 1 159 974 639 974 974 974 0
62 1 160 974 640 974 974 974 0
63 1 163 974 641 974 974 974 0
64 1 166 974 642 974 974 974 0
65 1 168 974 643 974 974 974 0
66 1 170 974 644 974 974 974 0
67 1 173 974 645 974 974 974 0
68 1 175 974 646 974 974 974 0
69 1 177 974 647 974 974 974 0
70 1 180 974 648 974 974 974 0
71 1 183 974 649 974 974 974 0
72 1 186 974 650 974 974 974 0
73 1 188 974 651 974 974 974 0
74 1 191 974 652 974 974 974 0
75 1 193 974 653 974 974 974 0
76 1 194 974 654 974 974 974 0
77 1 197 974 655 974 974 974 0
78 1 200 974 656 974 974 974 0
79 1 202 974 657 974 974 974 0
80 1 204 974 658 974 974 974 0
81 1 208 974 659 974 974 974 0
82 1 210 974 660 974 974 974 0
83 1 213 974 661 974 974 974 0
84 1 216 974 662 974 974 974 0
85 1 219 974 663 974 974 974 0
86 1 222 974 664 974 974 974 0
87 1 226 974 665 974 974 974 0
88 1 228 974 666 974 974 974 0
89 1 229 974 667 974 974 974 0
90 1 230 974 669 974 974 974 0
91 1 231 974 670 974 974 974 0
92 1 232 974 958 974 974 974 0
93 1 234 974 671 974 974 974 0
94 1 235 974 673 974 974 974 0
95 1 236 974 679 974 974 974 0
96 1 237 974 680 974 974 974 0
97 1 238 974 681 974 974 974 0
98 1 240 974 682 974 974 974 0
99 1 241 974 688 974 974 974 0
100 1 243 974 697 974 974 974 0
101 1 244 974 698 974 974 974 0
102 1 245 974 699 974 974 974 0
103 1 246 974 700 974 974 974 0
104 1 247 974 701 974 974 974 0
105 1 248 974 702 974 974 974 0
106 1 249 974 703 974 974 974 0
107 1 250 974 704 974 974 974 0
108 1 251 974 705 974 974 974 0
109 1 253 974 706 974 974 974 0
110 1 257 974 709 974 974 974 0
111 1 258 974 710 974 974 974 0
112 1 262 974 711 974 974 974 0
113 1 263 974 712 974 974 974 0
114 1 268 974 713 974 974 974 0
115 1 273 974 714 974 974 974 0
116 1 275 974 758 974 974 974 0
117 1 277 974 541 974 974 974 0
118 1 284 974 715 974 974 974 0
119 1 285 974 718 974 974 974 0
