CP_gas -> CP_surface
HCCP_gas -> HCCP_surface
HCP_gas -> HCP_surface
HF_gas -> HF_surface
HPO_gas -> HPO_surface
PN_gas -> PN_surface
SiC2CH3_gas -> SiC2CH3_surface
SiC3H_gas -> SiC3H_surface
SiC3H5_gas -> SiC3H5_surface
SiC4_gas -> SiC4_surface
SiC4H_gas -> SiC4H_surface
SiC6H_gas -> SiC6H_surface
SiC8H_gas -> SiC8H_surface
c_HCCHSi_gas -> c_HCCHSi_surface
c_SiC2_gas -> c_SiC2_surface
l_SiC3_gas -> l_SiC3_surface
l_C3H_gas -> l_C3H_surface
c_C3H_gas -> c_C3H_surface
l_C3H2_gas -> l_C3H2_surface
c_C3H2_gas -> c_C3H2_surface
Mg_gas -> Mg_surface
MgH_gas -> MgH_surface
MgH2_gas -> MgH2_surface
HCl_gas -> HCl_surface
H2Cl_gas -> H2Cl_surface
CCl_gas -> CCl_surface
ClO_gas -> ClO_surface
Na_gas -> Na_surface
NaH_gas -> NaH_surface
H_surface -> H_gas
H2_surface -> H2_gas
He_surface -> He_gas
O_surface -> O_gas
O2_surface -> O2_gas
O3_surface -> O3_gas
OH_surface -> OH_gas
H2O_surface -> H2O_gas
HOOH_surface -> HOOH_gas
Fe_surface -> Fe_gas
FeH_surface -> FeH_gas
N_surface -> N_gas
S_surface -> S_gas
C_surface -> C_gas
C2_surface -> C2_gas
CO_surface -> CO_gas
HCO_surface -> HCO_gas
H2CO_surface -> H2CO_gas
CH2OH_surface -> CH2OH_gas
CH3O_surface -> CH3O_gas
CH3OH_surface -> CH3OH_gas
CH_surface -> CH_gas
CH2_surface -> CH2_gas
CH3_surface -> CH3_gas
CH4_surface -> CH4_gas
CO2_surface -> CO2_gas
HCOOH_surface -> HCOOH_gas
HOCO_surface -> HOCO_gas
NH_surface -> NH_gas
NH2_surface -> NH2_gas
NH3_surface -> NH3_gas
C10_surface -> C10_gas
C10H_surface -> C10H_gas
C10H2_surface -> C10H2_gas
C10N_surface -> C10N_gas
C11_surface -> C11_gas
C2H2_surface -> C2H2_gas
C2H3_surface -> C2H3_gas
C2H4_surface -> C2H4_gas
C2H5_surface -> C2H5_gas
C2H6_surface -> C2H6_gas
C3_surface -> C3_gas
C3N_surface -> C3N_gas
C3O_surface -> C3O_gas
C3S_surface -> C3S_gas
C4_surface -> C4_gas
C4H_surface -> C4H_gas
C4H2_surface -> C4H2_gas
C4H3_surface -> C4H3_gas
C4N_surface -> C4N_gas
C4S_surface -> C4S_gas
C5_surface -> C5_gas
C5H_surface -> C5H_gas
C5H2_surface -> C5H2_gas
C5H3_surface -> C5H3_gas
C5H4_surface -> C5H4_gas
C5N_surface -> C5N_gas
C5O_surface -> C5O_gas
C6_surface -> C6_gas
C6H_surface -> C6H_gas
C6H2_surface -> C6H2_gas
C6H3_surface -> C6H3_gas
C6H4_surface -> C6H4_gas
C6H6_surface -> C6H6_gas
C6N_surface -> C6N_gas
C7_surface -> C7_gas
C7H_surface -> C7H_gas
C7H2_surface -> C7H2_gas
C7H3_surface -> C7H3_gas
C7H4_surface -> C7H4_gas
C7N_surface -> C7N_gas
C7O_surface -> C7O_gas
C8_surface -> C8_gas
C8H_surface -> C8H_gas
C8H2_surface -> C8H2_gas
C8H3_surface -> C8H3_gas
C8H4_surface -> C8H4_gas
C8N_surface -> C8N_gas
C9_surface -> C9_gas
C9H_surface -> C9H_gas
C9H2_surface -> C9H2_gas
C9H3_surface -> C9H3_gas
C9H4_surface -> C9H4_gas
C9N_surface -> C9N_gas
C9O_surface -> C9O_gas
CCH_surface -> CCH_gas
CCN_surface -> CCN_gas
CCO_surface -> CCO_gas
CCS_surface -> CCS_gas
CH2CCH_surface -> CH2CCH_gas
CH2CHC2H_surface -> CH2CHC2H_gas
CH2CHCHCH2_surface -> CH2CHCHCH2_gas
CH2CHCN_surface -> CH2CHCN_gas
CH2NH_surface -> CH2NH_gas
CH2NH2_surface -> CH2NH2_gas
CH3C3N_surface -> CH3C3N_gas
CH3C4H_surface -> CH3C4H_gas
CH3C5N_surface -> CH3C5N_gas
CH3C6H_surface -> CH3C6H_gas
CH3C7N_surface -> CH3C7N_gas
CH3CCH_surface -> CH3CCH_gas
CH3CH2OH_surface -> CH3CH2OH_gas
CH3CHCH2_surface -> CH3CHCH2_gas
CH3CHO_surface -> CH3CHO_gas
CH3CN_surface -> CH3CN_gas
CH3COCH3_surface -> CH3COCH3_gas
CH3NH2_surface -> CH3NH2_gas
CH3OCH2_surface -> CH3OCH2_gas
CH3OCH3_surface -> CH3OCH3_gas
CN_surface -> CN_gas
CS_surface -> CS_gas
H2CCN_surface -> H2CCN_gas
H2CCO_surface -> H2CCO_gas
H2CN_surface -> H2CN_gas
H2CS_surface -> H2CS_gas
H2S_surface -> H2S_gas
HDS_surface -> HDS_gas
HC2O_surface -> HC2O_gas
HC3N_surface -> HC3N_gas
HC4N_surface -> HC4N_gas
HC5N_surface -> HC5N_gas
HC6N_surface -> HC6N_gas
HC7N_surface -> HC7N_gas
HC8N_surface -> HC8N_gas
HC9N_surface -> HC9N_gas
HCCNC_surface -> HCCNC_gas
HCN_surface -> HCN_gas
HCNCC_surface -> HCNCC_gas
HCOOCH3_surface -> HCOOCH3_gas
HCS_surface -> HCS_gas
HNC_surface -> HNC_gas
HNCCC_surface -> HNCCC_gas
HNCO_surface -> HNCO_gas
HNO_surface -> HNO_gas
HS_surface -> HS_gas
N2_surface -> N2_gas
N2O_surface -> N2O_gas
NC4N_surface -> NC4N_gas
NC6N_surface -> NC6N_gas
NC8N_surface -> NC8N_gas
NH2CHO_surface -> NH2CHO_gas
NH2CN_surface -> NH2CN_gas
HSS_surface -> HSS_gas
HSSH_surface -> HSSH_gas
NO_surface -> NO_gas
NO2_surface -> NO2_gas
NS_surface -> NS_gas
OCN_surface -> OCN_gas
OCS_surface -> OCS_gas
S2_surface -> S2_gas
SO_surface -> SO_gas
SO2_surface -> SO2_gas
CH3OCHO_surface -> CH3OCHO_gas
Si_surface -> Si_gas
SiS_surface -> SiS_gas
SiN_surface -> SiN_gas
SiC_surface -> SiC_gas
SiH_surface -> SiH_gas
SiH2_surface -> SiH2_gas
SiH3_surface -> SiH3_gas
SiH4_surface -> SiH4_gas
SiC2CH3_surface -> SiC2CH3_gas
SiC3H_surface -> SiC3H_gas
SiC3H5_surface -> SiC3H5_gas
SiC4_surface -> SiC4_gas
SiC4H_surface -> SiC4H_gas
SiC6H_surface -> SiC6H_gas
SiC8H_surface -> SiC8H_gas
c_HCCHSi_surface -> c_HCCHSi_gas
c_SiC2_surface -> c_SiC2_gas
l_C3H_surface -> l_C3H_gas
c_C3H_surface -> c_C3H_gas
l_SiC3_surface -> l_SiC3_gas
l_C3H2_surface -> l_C3H2_gas
c_C3H2_surface -> c_C3H2_gas
Mg_surface -> Mg_gas
MgH_surface -> MgH_gas
MgH2_surface -> MgH2_gas
Na_surface -> Na_gas
NaH_surface -> NaH_gas
F_surface -> F_gas
HF_surface -> HF_gas
Cl_surface -> Cl_gas
HCl_surface -> HCl_gas
H2Cl_surface -> H2Cl_gas
CCl_surface -> CCl_gas
ClO_surface -> ClO_gas
C3H4_surface -> C3H4_gas
P_surface -> P_gas
PO_surface -> PO_gas
PH_surface -> PH_gas
PH2_surface -> PH2_gas
PN_surface -> PN_gas
CP_surface -> CP_gas
CCP_surface -> CCP_gas
C3P_surface -> C3P_gas
C4P_surface -> C4P_gas
CH2PH_surface -> CH2PH_gas
HCP_surface -> HCP_gas
HCCP_surface -> HCCP_gas
HPO_surface -> HPO_gas
CH2_surface + N_surface -> H_surface + HCN_surface
N_surface + CHD_surface -> D_surface + HCN_surface
N_surface + CHD_surface -> H_surface + DCN_surface
N_surface + CD2_surface -> D_surface + DCN_surface
OH_surface + CH2NH_surface -> H2O_surface + H2CN_surface
OD_surface + CH2NH_surface -> HDO_surface + H2CN_surface
OH_surface + CHDNH_surface -> HDO_surface + H2CN_surface
OH_surface + CHDNH_surface -> H2O_surface + HDCN_surface
OD_surface + CHDNH_surface -> H2O_surface + D2CN_surface
OD_surface + CHDNH_surface -> HDO_surface + HDCN_surface
OD_surface + CHDNH_surface -> D2O_surface + H2CN_surface
OH_surface + CH2ND_surface -> HDO_surface + H2CN_surface
OH_surface + CH2ND_surface -> H2O_surface + HDCN_surface
OD_surface + CH2ND_surface -> D2O_surface + H2CN_surface
OD_surface + CH2ND_surface -> HDO_surface + HDCN_surface
OD_surface + CH2ND_surface -> H2O_surface + D2CN_surface
OH_surface + CD2NH_surface -> H2O_surface + D2CN_surface
OH_surface + CD2NH_surface -> HDO_surface + HDCN_surface
OH_surface + CD2NH_surface -> D2O_surface + H2CN_surface
OD_surface + CD2NH_surface -> HDO_surface + D2CN_surface
OD_surface + CD2NH_surface -> D2O_surface + HDCN_surface
OH_surface + CHDND_surface -> H2O_surface + D2CN_surface
OH_surface + CHDND_surface -> HDO_surface + HDCN_surface
OH_surface + CHDND_surface -> D2O_surface + H2CN_surface
OD_surface + CHDND_surface -> HDO_surface + D2CN_surface
OD_surface + CHDND_surface -> D2O_surface + HDCN_surface
OH_surface + CD2ND_surface -> H2O_surface + D2CN_surface
OH_surface + CD2ND_surface -> HDO_surface + HDCN_surface
OH_surface + CD2ND_surface -> D2O_surface + H2CN_surface
OD_surface + CD2ND_surface -> D2O_surface + D2CN_surface
OH_surface + CH3OH_surface -> H2O_surface + CH2OH_surface
OD_surface + CH3OH_surface -> HDO_surface + CH2OH_surface
OH_surface + CH2DOH_surface -> HDO_surface + CH2OH_surface
OH_surface + CH2DOH_surface -> H2O_surface + CHDOH_surface
OD_surface + CH2DOH_surface -> D2O_surface + CH2OH_surface
OD_surface + CH2DOH_surface -> HDO_surface + CHDOH_surface
OH_surface + CH3OD_surface -> H2O_surface + CH2OD_surface
OD_surface + CH3OD_surface -> HDO_surface + CH2OD_surface
OH_surface + CHD2OH_surface -> HDO_surface + CHDOH_surface
OH_surface + CHD2OH_surface -> D2O_surface + CD2OH_surface
OD_surface + CHD2OH_surface -> D2O_surface + CHDOH_surface
OD_surface + CHD2OH_surface -> HDO_surface + CD2OH_surface
OH_surface + CH2DOD_surface -> HDO_surface + CH2OD_surface
OH_surface + CH2DOD_surface -> H2O_surface + CHDOD_surface
OD_surface + CH2DOD_surface -> HDO_surface + CHDOD_surface
OD_surface + CH2DOD_surface -> D2O_surface + CH2OD_surface
OH_surface + CHD2OD_surface -> HDO_surface + CHDOD_surface
OD_surface + CHD2OD_surface -> D2O_surface + CHDOD_surface
OH_surface + CHD2OD_surface -> H2O_surface + CD2OD_surface
OD_surface + CHD2OD_surface -> HDO_surface + CD2OD_surface
OH_surface + CD3OH_surface -> HDO_surface + CD2OH_surface
OD_surface + CD3OH_surface -> D2O_surface + CD2OH_surface
OH_surface + CD3OD_surface -> HDO_surface + CD2OD_surface
OD_surface + CD3OD_surface -> D2O_surface + CD2OD_surface
OH_surface + CH3OH_surface -> H2O_surface + CH3O_surface
OD_surface + CH3OH_surface -> HDO_surface + CH3O_surface
OH_surface + CH3OD_surface -> HDO_surface + CH3O_surface
OD_surface + CH3OD_surface -> D2O_surface + CH3O_surface
OH_surface + CH2DOH_surface -> H2O_surface + CH2DO_surface
OD_surface + CH2DOH_surface -> HDO_surface + CH2DO_surface
